pdf,model,status,cer,wer,domain_precision,domain_recall,domain_f1,elapsed_seconds,pages,chars_extracted
sislaer_47365.pdf,tesseract,OK,0.7572775043790141,2.368592351505289,0.009615384615384616,0.009615384615384616,0.009615384615384616,49.802604464995966,12,12228
sislaer_47365.pdf,easyocr,OK,0.12177829677204104,0.451586655817738,0.019230769230769232,0.019230769230769232,0.019230769230769232,190.09907372399903,12,11259
sislaer_47365.pdf,doctr,OK,0.12611560597214114,0.41985353946297804,0.019230769230769232,0.019230769230769232,0.019230769230769232,44.57669926700328,12,11269
sislaer_47365.pdf,unstructured,OK,0.11043456501793311,0.4906427990235964,0.019230769230769232,0.019230769230769232,0.019230769230769232,37.881602654000744,1,11468
sislaer_47365.pdf,chandra,SKIPPED,,,0.0,0.0,0.0,59.70297522400506,0,0
sislaer_47365.pdf,paddleocr,OK,0.17132371340395364,0.36696501220504474,0.019230769230769232,0.019230769230769232,0.019230769230769232,394.822535668005,12,10441
sislaer_47462.pdf,tesseract,OK,0.5050809878672169,0.9733229329173166,0.009615384615384616,0.009615384615384616,0.009615384615384616,139.1245149930037,31,44141
sislaer_47462.pdf,easyocr,OK,0.13902403974461622,0.2736349453978159,0.028846153846153848,0.028846153846153848,0.028846153846153848,527.7294371980024,31,49176
sislaer_47462.pdf,doctr,OK,0.10995463037096344,0.20187207488299533,0.019230769230769232,0.019230769230769232,0.019230769230769232,122.48588076500164,31,47418
sislaer_47462.pdf,unstructured,OK,0.08447783868120137,0.23790951638065522,0.028846153846153848,0.028846153846153848,0.028846153846153848,135.24243024200405,1,47571
sislaer_47462.pdf,chandra,SKIPPED,,,0.0,0.0,0.0,0.6290544359944761,0,0
sislaer_47462.pdf,paddleocr,OK,0.20642154749440578,0.1702028081123245,0.028846153846153848,0.028846153846153848,0.028846153846153848,1042.5476390980039,31,46011
sislaer_47534.pdf,tesseract,OK,0.9671706089582285,7.296116504854369,0.019230769230769232,0.019230769230769232,0.019230769230769232,123.59786170900043,30,43258
sislaer_47534.pdf,easyocr,OK,0.9659788626069451,5.779611650485437,0.028846153846153848,0.028846153846153848,0.028846153846153848,502.7151005009946,30,43929
sislaer_47534.pdf,doctr,OK,0.9653105183694011,5.242718446601942,0.019230769230769232,0.019230769230769232,0.019230769230769232,118.92539870100154,30,43494
sislaer_47534.pdf,unstructured,OK,0.9657171615500755,6.398058252427185,0.019230769230769232,0.019230769230769232,0.019230769230769232,123.38643345300079,1,45600
sislaer_47534.pdf,chandra,SKIPPED,,,0.0,0.0,0.0,1.2150084070017328,0,0
sislaer_47534.pdf,paddleocr,OK,0.9662325113236034,5.083495145631068,0.019230769230769232,0.019230769230769232,0.019230769230769232,1018.370184145002,30,43081
sislaer_47605.pdf,tesseract,OK,0.966439723573074,9.920955882352942,0.028846153846153848,0.028846153846153848,0.028846153846153848,83.05018362600094,17,19672
sislaer_47605.pdf,easyocr,OK,0.9591911952905042,5.273897058823529,0.038461538461538464,0.038461538461538464,0.038461538461538464,269.84534483999596,17,20377
sislaer_47605.pdf,doctr,OK,0.9574302533913489,4.882352941176471,0.038461538461538464,0.038461538461538464,0.038461538461538464,61.2318018129954,17,20426
sislaer_47605.pdf,unstructured,OK,0.9585154850268749,5.446691176470588,0.038461538461538464,0.038461538461538464,0.038461538461538464,60.07466023699817,1,20760
sislaer_47605.pdf,chandra,SKIPPED,,,0.0,0.0,0.0,0.46514467999804765,0,0
sislaer_47605.pdf,paddleocr,OK,0.9587714358843102,4.7224264705882355,0.038461538461538464,0.038461538461538464,0.038461538461538464,552.8694188020017,17,19921
